index,nouns,ss_id,ss_name
0,"[u'musician', u'person']",n10599806,singer.n.01
1,"[u'plant', u'strawberry']",n12630763,beach_strawberry.n.01
2,"[u'bird', u'swan']",n01858845,pen.n.05
3,"[u'pot', u'toilet', u'unit', u'whole']",n03993053,potty_seat.n.01
4,"[u'herb', u'plant']",n12515711,chickpea.n.02
5,"[u'bird', u'swan']",n01858780,cob.n.04
6,"[u'bush', u'plant', u'rose', u'shrub']",n12620969,banksia_rose.n.01
7,"[u'chair', u'seat']",n04576002,wheelchair.n.01
8,"[u'plant', u'tulip']",n12454793,cottage_tulip.n.01
9,"[u'bird', u'swan']",n01858281,coscoroba.n.01
10,"[u'fence', u'weir']",n04571686,weir.n.02
11,"[u'flora', u'grass', u'herb', u'plant']",n12105125,wheatgrass.n.01
12,"[u'animal', u'cat', u'cub', u'lion']",n01322898,lion_cub.n.01
13,"[u'bird', u'duck']",n01847407,dabbling_duck.n.01
14,"[u'barn', u'building', u'structure']",n02793495,barn.n.01
15,"[u'plant', u'rose']",n12621945,cherokee_rose.n.01
16,"[u'plant', u'tulip']",n12454556,lady_tulip.n.01
17,"[u'plant', u'tulip']",n12454949,darwin_tulip.n.01
18,"[u'bird', u'chicken']",n01793715,orpington.n.01
19,"[u'fern', u'plant']",n13199717,christmas_fern.n.01
20,"[u'construction', u'dome', u'stadium', u'structure']",n03220692,dome.n.03
21,"[u'bird', u'heron']",n02012185,least_bittern.n.01
22,"[u'bird', u'swan']",n01859325,whooper.n.02
23,"[u'musician', u'person']",n10732010,trumpeter.n.01
24,"[u'cat', u'tiger']",n02129837,bengal_tiger.n.01
25,"[u'bird', u'duck']",n01847978,black_duck.n.01
26,"[u'animal', u'bird', u'swan']",n01858441,swan.n.01
27,"[u'bird', u'duck']",n01852671,muscovy_duck.n.01
28,"[u'animal', u'female', u'hen']",n01321123,hen.n.04
29,"[u'bed', u'bottom', u'formation']",n09376526,ocean_floor.n.01
30,"[u'food', u'fruit', u'orange', u'produce']",n07747607,orange.n.01
31,"[u'building', u'castle', u'home', u'house']",n03878066,palace.n.01
32,"[u'man', u'person']",n10656120,stiff.n.01
33,"[u'color', u'colour', u'pink', u'rose']",n04971313,rose.n.03
34,"[u'bird', u'heron']",n02011805,american_bittern.n.01
35,"[u'plant', u'tree']",n12402840,india-rubber_tree.n.01
36,"[u'barn', u'building', u'construction', u'structure']",n03123809,cowbarn.n.01
37,"[u'businessman', u'person']",n09840217,baron.n.03
38,"[u'bar', u'rail', u'unit', u'whole']",n04046590,rail.n.04
39,"[u'bird', u'heron']",n02011016,yellow-crowned_night_heron.n.01
40,"[u'building', u'hospital']",n03540595,hospital.n.01
41,"[u'bird', u'heron']",n02011460,bittern.n.01
42,"[u'bar', u'table']",n04366033,sushi_bar.n.01
43,"[u'bird', u'duck']",n01847253,diving_duck.n.01
44,"[u'flora', u'plant', u'tulip']",n12454159,tulip.n.01
45,"[u'building', u'home', u'house', u'structure']",n03166514,deanery.n.01
46,"[u'fruit', u'orange']",n07748753,bitter_orange.n.02
47,"[u'truck', u'van']",n03896419,passenger_van.n.01
48,"[u'animal', u'deer', u'fawn', u'young']",n02430830,fawn.n.02
