synset_id,synset_name,acc_basic_name_visual,acc_freq_desc,delta_acc
n00017222,plant.n.02,0.956092,0.956092,0
n00326094,rock_climbing.n.01,0.720854,0.639573,0.0812808
n01318279,hatchling.n.01,0.680556,0.680556,0
n01318381,head.n.02,0.636382,0.636382,0
n01321123,hen.n.04,0.718391,0.458949,0.259442
n01321230,male.n.01,0.733164,0.645086,0.0880774
n01321579,young.n.01,0.670621,0.59774,0.0728814
n01321770,orphan.n.04,0.707953,0.632749,0.0752047
n01321854,young_mammal.n.01,0.576871,0.523537,0.0533333
n01322221,baby.n.06,0.573043,0.43053,0.142514
n01322343,pup.n.01,0.629728,0.601359,0.0283688
n01322508,wolf_pup.n.01,0.686508,0.527778,0.15873
n01322604,puppy.n.01,0.854436,0.848407,0.00602929
n01322685,cub.n.03,0.584295,0.444275,0.14002
n01322898,lion_cub.n.01,0.8037,0.507043,0.296657
n01322983,bear_cub.n.01,0.634331,0.605328,0.0290031
n01323068,tiger_cub.n.01,0.900059,0.711346,0.188713
n01323155,kit.n.03,0.653501,0.62493,0.0285714
n01323261,suckling.n.03,0.738562,0.679739,0.0588235
n01323355,sire.n.03,0.75,0.645833,0.104167
n01323493,dam.n.03,0.691772,0.606871,0.0849011
n01323781,giant.n.01,0.89932,0.89932,0
n01504179,fledgling.n.02,0.623656,0.553763,0.0698925
n01504344,nestling.n.01,0.563564,0.518268,0.0452953
n01514752,gamecock.n.01,0.748299,0.731293,0.0170068
n01514859,hen.n.02,0.643883,0.582828,0.061055
n01517565,ratite.n.01,0.901626,0.901626,0
n01517966,carinate.n.01,0.988499,0.988499,0
n01518878,ostrich.n.02,0.703369,0.703243,0.000125691
n01519563,cassowary.n.01,0.921296,0.921296,0
n01520576,kiwi.n.04,0.735477,0.723757,0.0117191
n01521399,rhea.n.03,0.825037,0.777185,0.0478519
n01521756,rhea.n.02,0.822222,0.771132,0.0510907
n01539573,sparrow.n.01,0.952239,0.952239,0
n01545574,lyrebird.n.01,0.909649,0.89442,0.0152285
n01558594,blackbird.n.02,0.871391,0.871391,0
n01574045,new_world_blackbird.n.01,0.904242,0.905332,-0.00108932
n01574390,grackle.n.02,0.929607,0.929607,0
n01574801,rusty_blackbird.n.01,0.916811,0.916811,0
n01575117,cowbird.n.01,0.957498,0.956543,0.00095511
n01575401,red-winged_blackbird.n.01,0.887063,0.887063,0
n01584225,wren.n.02,0.980392,0.980392,0
n01604330,bird_of_prey.n.01,0.973633,0.973633,0
n01605630,hawk.n.01,0.83803,0.83803,0
n01606177,tiercel.n.01,0.910535,0.910535,0
n01606522,goshawk.n.01,0.847169,0.845285,0.00188324
n01606672,sparrow_hawk.n.02,0.917166,0.914166,0.00299976
n01606809,cooper's_hawk.n.01,0.90843,0.898611,0.00981998
n01606978,chicken_hawk.n.01,0.925089,0.925089,0
n01607429,redtail.n.01,0.821705,0.817829,0.00387597
n01607600,rough-legged_hawk.n.01,0.748677,0.754054,-0.00537634
n01607812,red-shouldered_hawk.n.01,0.827904,0.831746,-0.00384236
n01607962,buzzard.n.02,0.813492,0.81746,-0.00396825
n01608265,honey_buzzard.n.01,0.917959,0.914083,0.00387597
n01608432,kite.n.04,0.835483,0.825806,0.00967747
n01608814,black_kite.n.01,0.883333,0.883333,0
n01609062,swallow-tailed_kite.n.01,0.935989,0.93543,0.000559275
n01609391,white-tailed_kite.n.01,0.866197,0.859155,0.00704225
n01609751,harrier.n.03,0.88856,0.889546,-0.000986193
n01609956,marsh_harrier.n.01,0.873328,0.881265,-0.00793651
n01610100,montagu's_harrier.n.01,0.902853,0.903908,-0.00105485
n01610226,marsh_hawk.n.01,0.874782,0.869328,0.00545458
n01610552,harrier_eagle.n.01,0.919038,0.915946,0.00309215
n01610955,falcon.n.01,0.837203,0.837217,-1.34376E-05
n01611472,peregrine.n.01,0.888493,0.881376,0.00711744
n01611800,gyrfalcon.n.01,0.786795,0.786795,0
n01611969,kestrel.n.02,0.913873,0.908613,0.00526064
n01612122,sparrow_hawk.n.01,0.900702,0.901869,-0.00116754
n01612275,pigeon_hawk.n.01,0.946703,0.943287,0.00341635
n01612476,hobby.n.03,0.884769,0.884769,0
n01612628,caracara.n.01,0.917007,0.917007,0
n01613177,carancha.n.01,0.947256,0.946954,0.000302755
n01613294,eagle.n.01,0.829485,0.810525,0.0189608
n01613615,young_bird.n.01,0.68,0.64,0.04
n01613807,eaglet.n.01,0.876761,0.857981,0.0187793
n01616086,osprey.n.01,0.796255,0.794178,0.00207684
n01616318,vulture.n.01,0.953223,0.953223,0
n01618503,secretary_bird.n.01,0.962654,0.962654,0
n01621127,owl.n.01,0.827447,0.81195,0.0154967
n01791107,jungle_fowl.n.01,0.89791,0.89791,0
n01791625,chicken.n.02,0.745588,0.698302,0.047286
n01792042,chick.n.01,0.617486,0.568306,0.0491803
n01792158,cock.n.04,0.741026,0.621795,0.119231
n01792429,cockerel.n.01,0.724206,0.724206,0
n01792640,hen.n.01,0.709814,0.599269,0.110545
n01792955,brood_hen.n.01,0.777397,0.618721,0.158676
n01793085,mother_hen.n.02,0.616352,0.591195,0.0251572
n01793159,layer.n.04,0.623188,0.623188,0
n01793249,pullet.n.02,0.777358,0.608805,0.168553
n01793340,spring_chicken.n.02,0.808333,0.625,0.183333
n01793435,rhode_island_red.n.01,0.773291,0.72265,0.050641
n01793715,orpington.n.01,0.806122,0.52381,0.282313
n01794158,turkey.n.01,0.919365,0.844378,0.0749875
n01794344,turkey_cock.n.01,0.841005,0.644974,0.196032
n01795088,grouse.n.02,0.925615,0.925615,0
n01795545,black_grouse.n.01,0.962421,0.962421,0
n01797020,capercaillie.n.01,0.946009,0.946009,0
n01797601,sage_grouse.n.01,0.916192,0.916192,0
n01797886,ruffed_grouse.n.01,0.922589,0.928878,-0.00628931
n01799302,guan.n.01,0.988203,0.988203,0
n01803078,pheasant.n.01,0.915266,0.912179,0.00308642
n01803893,argus.n.02,0.910667,0.896,0.0146667
n01804163,golden_pheasant.n.01,0.953086,0.953086,0
n01804478,bobwhite.n.01,0.943334,0.943334,0
n01805801,peafowl.n.01,0.926431,0.926431,0
n01806567,quail.n.02,0.946076,0.943235,0.00284091
n01806847,california_quail.n.01,0.980944,0.980944,0
n01808140,red-legged_partridge.n.01,0.934246,0.931513,0.00273224
n01809752,hoatzin.n.01,0.982708,0.982708,0
n01811909,pigeon.n.01,0.870641,0.869185,0.0014556
n01812187,pouter_pigeon.n.01,0.867989,0.867989,0
n01812337,dove.n.01,0.884203,0.884204,-1.05725E-06
n01812662,rock_dove.n.01,0.86383,0.859574,0.00425532
n01812866,band-tailed_pigeon.n.01,0.940092,0.940092,0
n01813088,wood_pigeon.n.01,0.909943,0.909943,0
n01813385,turtledove.n.02,0.906577,0.906577,0
n01813948,australian_turtledove.n.01,0.942931,0.942931,0
n01814217,mourning_dove.n.01,0.892157,0.892157,0
n01814370,domestic_pigeon.n.01,0.852454,0.852454,0
n01814549,squab.n.03,0.833333,0.833333,0
n01814755,roller.n.07,0.945407,0.945407,0
n01814921,homing_pigeon.n.01,0.90264,0.90264,0
n01816887,parrot.n.01,0.838966,0.838966,0
n01817263,popinjay.n.02,0.873042,0.873787,-0.000745712
n01817346,poll.n.04,0.796423,0.796423,0
n01818299,amazon.n.04,0.75817,0.75817,0
n01818515,macaw.n.01,0.821731,0.827791,-0.00606061
n01818832,kea.n.01,0.901639,0.901639,0
n01819115,cockatoo.n.01,0.859317,0.789716,0.069601
n01819734,cockateel.n.01,0.876245,0.876245,0
n01820052,lovebird.n.02,0.830181,0.830181,0
n01820348,lory.n.01,0.875698,0.875698,0
n01821203,parakeet.n.01,0.820708,0.820708,0
n01823013,cuckoo.n.02,0.991187,0.991187,0
n01826364,roller.n.06,0.984744,0.984744,0
n01827403,kingfisher.n.01,0.978756,0.977744,0.00101163
n01829413,hornbill.n.01,0.967938,0.967938,0
n01833805,hummingbird.n.01,0.918918,0.836153,0.082765
n01837072,frogmouth.n.01,0.87957,0.88172,-0.00215054
n01838598,woodpecker.n.01,0.903041,0.871486,0.0315548
n01844551,quetzal.n.02,0.965185,0.965185,0
n01844917,aquatic_bird.n.01,0.980112,0.980112,0
n01846331,duck.n.01,0.833659,0.800391,0.0332681
n01847000,drake.n.02,0.807269,0.698709,0.10856
n01847089,quack-quack.n.01,0.830912,0.825627,0.00528446
n01847170,duckling.n.02,0.800783,0.683214,0.117569
n01847253,diving_duck.n.01,0.807154,0.576406,0.230749
n01847407,dabbling_duck.n.01,0.809462,0.515857,0.293605
n01847806,mallard.n.01,0.762893,0.698113,0.0647799
n01847978,black_duck.n.01,0.823608,0.555332,0.268276
n01848123,teal.n.02,0.874414,0.863746,0.0106677
n01848648,widgeon.n.01,0.842561,0.747234,0.0953273
n01848976,shoveler.n.02,0.853731,0.737313,0.116418
n01849157,pintail.n.01,0.829434,0.637193,0.192241
n01849466,sheldrake.n.02,0.813008,0.757724,0.0552846
n01849863,ruddy_duck.n.01,0.84778,0.782187,0.065593
n01850192,bufflehead.n.01,0.805771,0.686544,0.119228
n01850373,goldeneye.n.02,0.828219,0.657056,0.171164
n01850873,canvasback.n.01,0.844646,0.766214,0.0784314
n01851038,pochard.n.01,0.836066,0.79235,0.0437158
n01851207,redhead.n.02,0.873984,0.873984,0
n01851375,scaup.n.01,0.871685,0.865048,0.00663723
n01851895,wild_duck.n.01,0.861905,0.855421,0.00648406
n01852142,wood_duck.n.01,0.840834,0.632821,0.208014
n01852400,mandarin_duck.n.01,0.85015,0.818441,0.0317091
n01852671,muscovy_duck.n.01,0.794872,0.534413,0.260459
n01852861,sea_duck.n.01,0.828444,0.717704,0.11074
n01858281,coscoroba.n.01,0.838793,0.536666,0.302127
n01858441,swan.n.01,0.820271,0.554058,0.266214
n01858780,cob.n.04,0.853577,0.52165,0.331928
